Node,Type,Value,HE 1,HE 2,HE 3,HE 4,HE 5,HE 6,HE 7,HE 8,HE 9,HE 10,HE 11,HE 12,HE 13,HE 14,HE 15,HE 16,HE 17,HE 18,HE 19,HE 20,HE 21,HE 22,HE 23,HE 24
EAI.BLAKELY2,Gennode,LMP,60.49,59.5,57.52,54.78,54.11,237.23,85.11,224.89,71.83,133.08,55.94,58.76,48.54,50.08,41.15,48.4,59.85,70.9,75.94,232.45,253.32,111.74,88.53,57.76
EAI.BUBALD,Loadzone,LMP,60.8,59.43,57.42,54.73,54.17,149.99,80.25,227.99,69.19,98.28,55.96,58.57,48.48,50.26,41.44,48.52,59.92,70.94,75.91,171.76,162.39,93.13,77.61,57.78
EAI.CARPEN1,Gennode,LMP,60.27,59.13,57.17,54.47,53.84,251.68,85.93,224.65,71.92,138.28,55.42,58.47,48.29,49.95,41.19,48.28,59.58,70.54,75.53,241.92,268.43,114.48,90.22,57.66
EAI.CARPEN2,Gennode,LMP,60.27,59.13,57.17,54.47,53.84,251.68,85.93,225.75,72.32,138.71,55.75,58.54,48.29,49.95,41.18,48.28,59.58,70.54,75.53,241.92,268.43,114.47,90.22,57.66
EAI.CC.AECCMGV,Gennode,LMP,59.86,58.67,56.72,54.04,53.42,64.35,74.05,224.64,65.21,63.65,55.39,58.1,47.94,49.65,41,48.03,59.24,70.07,74.97,111.44,71.59,73.58,66.15,57.45
EAI.CC.AECCOSW,Gennode,LMP,60.95,59.12,57.08,54.48,54.05,87.36,76.24,226.97,66.56,73.22,55.89,58.22,48.17,50.26,41.74,48.49,59.7,70.65,75.5,127.39,95.57,78.86,69.39,57.79
EAI.CC.BLAKLY,Gennode,LMP,60.49,59.5,57.52,54.78,54.11,237.23,85.11,224.89,71.83,133.08,55.94,58.76,48.54,50.08,41.15,48.4,59.85,70.9,75.94,232.45,253.32,111.74,88.53,57.76
EAI.CC.CARPTR,Gennode,LMP,60.27,59.13,57.17,54.47,53.84,251.68,85.93,225.2,72.12,138.5,55.58,58.5,48.29,49.95,41.19,48.28,59.58,70.54,75.53,241.92,268.43,114.48,90.22,57.66
EAI.CC.DEGRAY,Gennode,LMP,60.44,59.08,57.1,54.44,53.88,232.06,83.99,224.05,71,130.3,55.85,58.55,48.22,50.05,41.47,48.38,59.6,70.59,75.56,228.05,247.77,110.14,87.9,57.86
EAI.CC.DELL,Gennode,LMP,2.06,51.47,52.97,41.97,29.55,57.27,58.48,171.19,58.3,33.49,28.59,64.08,49.79,28.72,5.74,48.23,66.07,89.2,82.18,135.23,78.86,86.28,86.94,73.92
EAI.CC.HT_SPR1,Gennode,LMP,59.55,58.58,56.65,53.93,53.24,63.94,73.83,224.12,65.09,63.43,55.31,58.15,47.89,49.48,40.82,47.91,59.12,69.95,74.89,111.16,71.19,73.42,66.09,57.43
EAI.CC.PBENRGY,Gennode,LMP,61.06,58.85,56.83,54.36,54.08,114.06,77.54,225.16,67.21,84.26,56.27,58.35,47.87,50.27,42.29,48.46,59.34,70.41,75.38,144.83,123.2,84.03,73.11,58.3
EAI.CC.UPS1,Gennode,LMP,57.55,58.44,56.69,53.63,52.26,75.56,73.76,222.35,65.39,71.31,55.26,59.24,47.93,48.55,39.85,47.35,58.68,69.78,75.13,119.85,83.54,75.91,68.22,57.86
EAI.CC.UPS2,Gennode,LMP,57.55,58.44,56.69,53.63,52.26,75.56,73.76,222.35,65.39,71.31,55.26,59.24,47.93,48.55,39.85,47.35,58.68,69.78,75.13,119.85,83.54,75.91,68.22,57.86
EAI.CC.UPS3,Gennode,LMP,57.55,58.44,56.69,53.63,52.26,75.56,73.76,222.35,65.39,71.31,55.26,59.24,47.93,48.55,39.85,47.35,58.68,69.78,75.13,119.85,83.54,75.91,68.22,57.86
EAI.CC.UPS4,Gennode,LMP,57.55,58.44,56.69,53.63,52.26,75.56,73.76,222.35,65.39,71.31,55.26,59.24,47.93,48.55,39.85,47.35,58.68,69.78,75.13,119.85,83.54,75.91,68.22,57.86
EAI.COUCH2.ARR,Hub,LMP,58.02,58.97,57.48,54.56,52.57,90.13,76.31,234.38,73.03,77.32,54.46,58.38,47.99,48.36,39.06,47.14,58.83,69.67,74.81,131.23,99.19,79.61,69.02,56.85
EAI.CWAYLD,Loadzone,LMP,60.25,59.48,57.52,54.67,53.92,89.37,76.36,228.69,67.03,73.17,54.98,57.93,48.53,49.87,40.42,48.04,60.05,71.22,76.36,132.28,99.79,80.42,65.75,53.44
EAI.CWAYLD1.AZ,Hub,LMP,60.26,59.49,57.54,54.69,53.94,89.38,76.38,228.75,67.04,73.18,54.99,57.95,48.54,49.88,40.43,48.07,60.06,71.24,76.38,132.29,99.79,80.43,65.76,53.45
EAI.CWL_1.AZ,Hub,LMP,61.63,60.6,58.57,55.73,55.09,96.86,90.15,244.34,73.47,77.61,56.65,59.82,49.67,54.13,44.46,58.75,64.72,84.71,79.93,135.25,107.9,88.05,79.53,69.72
EAI.CWL_A,Gennode,LMP,59.07,60.19,58.31,55.12,53.96,95.26,88.87,241.02,72.69,75.26,55.02,59.58,49.64,53.12,42.73,58.38,64.73,84.91,79.9,135.28,106.94,88.01,79.4,69.71
EAI.CWL_B,Gennode,LMP,59.07,60.19,58.31,55.12,53.96,95.26,88.87,241.02,72.69,75.26,55.02,59.58,49.64,53.12,42.73,58.38,64.73,84.91,79.9,135.28,106.94,88.01,79.4,69.71
EAI.CWL_C,Gennode,LMP,59.07,60.19,58.31,55.12,53.96,95.26,88.87,241.02,72.69,75.26,55.02,59.58,49.64,53.12,42.73,58.38,64.73,84.91,79.9,135.28,106.94,88.01,79.4,69.71
EAI.CWL_D,Gennode,LMP,59.07,60.19,58.31,55.12,53.96,95.26,88.87,241.02,72.69,75.26,55.02,59.58,49.64,53.12,42.73,58.38,64.73,84.91,79.9,135.28,106.94,88.01,79.4,69.71
EAI.CWL_E,Gennode,LMP,59.07,60.19,58.31,55.12,53.96,95.26,88.87,241.02,72.69,75.26,55.02,59.58,49.64,53.12,42.73,58.38,64.73,84.91,79.9,135.28,106.94,88.01,79.4,69.71
EAI.DEGRAY1,Gennode,LMP,60.44,59.08,57.1,54.44,53.88,232.06,83.99,224.05,71,130.3,55.85,58.55,48.22,50.05,41.47,48.38,59.6,70.59,75.56,228.05,247.77,110.14,87.9,57.86
EAI.DEGRAY2,Gennode,LMP,60.44,59.08,57.1,54.44,53.88,232.06,83.99,224.05,71,130.3,55.85,58.55,48.22,50.05,41.47,48.38,59.6,70.59,75.56,228.05,247.77,110.14,87.9,57.86
EAI.DELL.CT1,Gennode,LMP,2.06,51.47,52.97,41.97,29.55,57.27,58.48,171.19,58.3,33.49,28.59,64.08,49.79,28.72,5.74,48.23,66.07,89.2,82.18,135.23,78.86,86.28,86.94,73.92
EAI.DELL.CT2,Gennode,LMP,2.06,51.47,52.97,41.97,29.55,57.27,58.48,171.19,58.3,33.49,28.59,64.08,49.79,28.72,5.74,48.23,66.07,89.2,82.18,135.23,78.86,86.28,86.94,73.92
EAI.DELL.ST3,Gennode,LMP,2.06,51.47,52.97,41.97,29.55,57.27,58.48,171.19,58.3,33.49,28.59,64.08,49.79,28.72,5.74,48.23,66.07,89.2,82.18,135.23,78.86,86.28,86.94,73.92
EAI.DR.BIGRST,Gennode,LMP,58.97,60.49,58.83,55.42,54.25,97.28,91.57,243.21,75.48,83.79,63.23,67.79,50.08,54.2,48.11,60.8,67.92,88.89,84.31,135.72,105.89,89.56,92.23,77.39
EAI.DR.OIS,Gennode,LMP,52.95,58.58,57.13,53.31,50.9,106.51,76.08,223.63,68.38,79.27,53.64,60.37,48.75,47.45,37.42,48.62,60.78,73.7,77.09,145.86,117.92,85.62,74.55,60.08
EAI.EAILD,Loadzone,LMP,62.05,60.01,57.98,55.33,54.85,110.54,82.14,234.5,70.17,84.96,58.14,60.14,48.86,51.75,43.52,51.79,61.61,75.33,77.58,144.65,120.69,86.45,75.81,61.39
EAI.EAILD.RLA,Loadzone,LMP,62.05,60.01,57.98,55.33,54.85,110.54,82.14,234.51,70.17,84.96,58.14,60.14,48.86,51.75,43.52,51.79,61.61,75.33,77.58,144.65,120.69,86.45,75.81,61.39
EAI.EAMP_1.AZ,Hub,LMP,62.15,60,57.96,55.33,54.87,110.52,81.29,233.75,69.71,84.57,57.76,59.67,48.81,51.54,43.15,51.11,61.27,74.41,77.24,144.83,120.77,86.07,74.54,60.2
EAI.ELDORA.ARR,Hub,LMP,57.56,58.46,56.7,53.65,52.28,75.59,73.79,222.43,65.42,71.34,55.28,59.26,47.95,48.56,39.86,47.37,58.69,69.81,75.16,119.89,83.57,75.93,68.25,57.88
EAI.HASKL1.ARR,Hub,LMP,60.45,59.14,57.16,54.47,53.89,192.84,82.47,226.73,70.38,115.24,55.74,58.37,48.26,50,41.23,48.29,59.6,70.54,75.49,201.16,206.71,101.83,82.68,57.6
EAI.H_SPR1_CT1,Gennode,LMP,59.55,58.58,56.65,53.93,53.24,63.94,73.83,224.12,65.09,63.43,55.31,58.15,47.89,49.48,40.82,47.91,59.12,69.95,74.89,111.16,71.19,73.42,66.09,57.43
EAI.H_SPR1_CT2,Gennode,LMP,59.55,58.58,56.65,53.93,53.24,63.94,73.83,224.12,65.09,63.43,55.31,58.15,47.89,49.48,40.82,47.91,59.12,69.95,74.89,111.16,71.19,73.42,66.09,57.43
EAI.H_SPR1_ST,Gennode,LMP,59.55,58.58,56.65,53.93,53.24,63.94,73.83,224.12,65.09,63.43,55.31,58.15,47.89,49.48,40.82,47.91,59.12,69.95,74.89,111.16,71.19,73.42,66.09,57.43
EAI.INDEPEND1,Gennode,LMP,68.34,61.07,58.64,56.84,57.68,93.37,81.42,238.5,69.68,80.81,60.37,59.35,49.09,55.93,48.09,58.51,63.73,82.35,78.61,133.86,108.98,86.97,78.16,68.14
EAI.INDEPEND2,Gennode,LMP,66.08,60.72,58.42,56.31,56.7,91.78,80.04,235.57,68.97,78.01,59.15,59.35,49.07,53.61,46.54,54.67,63.07,72.06,77.1,128.67,99.28,80.01,70.69,58.57
EAI.JONSCWL,Loadzone,LMP,62.05,60.64,58.59,55.81,55.25,97.09,90.33,244.78,73.56,77.97,56.9,59.82,49.64,54.28,44.74,58.78,64.68,84.62,79.88,135.17,108.01,88.02,79.52,69.69
EAI.LK_CATH4,Gennode,LMP,59.88,58.72,56.77,54.08,53.46,264.88,86.24,224.7,72.39,143.71,55.39,58.11,47.97,49.65,40.95,48.02,59.24,70.06,74.98,250.77,282.41,117.02,91.6,57.39
EAI.LYNCH2.ARR,Hub,LMP,62.16,59.91,57.81,55.23,54.89,95.09,77.88,230.51,67.87,77.15,56.88,58.98,48.8,51.08,42.55,49.11,60.42,71.59,76.54,133.42,103.78,81.2,70.88,58.21
EAI.MABELV.ARR,Hub,LMP,60.5,58.96,56.94,54.29,53.77,86.89,75.86,226.32,66.32,72.64,55.43,57.91,48.07,49.95,41.21,48.23,59.54,70.36,75.19,127.46,95.4,78.81,68.99,57.4
EAI.NLRLD,Loadzone,LMP,61.83,59.91,57.83,55.19,54.76,94.97,77.74,230.45,67.88,76.9,56.66,58.99,48.88,50.95,42.22,49.04,60.49,71.65,76.61,133.83,103.9,81.36,70.83,58.12
EAI.NLR_1.AZ,Hub,LMP,61.81,59.89,57.81,55.17,54.74,94.72,77.69,230.35,67.83,76.77,56.63,58.95,48.85,50.92,42.2,49.02,60.46,71.6,76.57,133.63,103.64,81.28,70.77,58.1
EAI.OMLP_1.AZ,Hub,LMP,-97.43,36.42,43.68,19.02,-13.21,-13.63,-1.56,45.24,26.76,-55.47,-32.8,52.45,49.96,-15.92,-71.59,26.04,66.07,88.76,82.39,135.56,27.69,79.56,70.69,65.89
EAI.PBENRGY_CT,Gennode,LMP,61.06,58.85,56.83,54.36,54.08,114.06,77.54,225.15,67.2,84.26,56.27,58.35,47.87,50.27,42.29,48.46,59.34,70.41,75.38,144.83,123.2,84.03,73.11,58.3
EAI.PBENRGY_ST,Gennode,LMP,61.07,58.87,56.84,54.36,54.08,114.08,77.55,225.19,67.22,84.27,56.28,58.36,47.88,50.28,42.3,48.47,59.35,70.43,75.4,144.85,123.22,84.05,73.12,58.31
EAI.PLUM1_MEUC,Gennode,LMP,0.89,50.16,51.63,40.72,28.34,54.65,55.69,165.18,56.37,31.69,27.6,62.49,48.57,27.39,4.73,46.68,65.43,86.44,81.71,132.46,76.39,84.09,85.61,72.74
EAI.PLUM2_MEUC,Gennode,LMP,0.89,50.16,51.63,40.72,28.34,54.65,55.69,165.18,56.37,31.69,27.6,62.49,48.57,27.39,4.73,46.68,65.43,86.44,81.71,132.46,76.39,84.09,85.61,72.74
EAI.PLUMPT,Gennode,LMP,0.89,50.16,51.63,40.72,28.34,54.65,55.69,165.18,56.37,31.69,27.6,62.49,48.57,27.39,4.73,46.68,65.43,86.44,81.71,132.46,76.39,84.09,85.61,72.74
EAI.PLUM_1C,Gennode,LMP,0.89,50.16,51.63,40.72,28.34,54.65,55.69,165.18,56.37,31.69,27.6,62.49,48.57,27.39,4.73,46.68,65.43,86.44,81.71,132.46,76.39,84.09,85.61,72.74
EAI.PLUM_PPEA,Gennode,LMP,0.89,50.16,51.63,40.72,28.34,54.65,55.69,165.18,56.37,31.69,27.6,62.49,48.57,27.39,4.73,46.68,65.43,86.44,81.71,132.46,76.39,84.09,85.61,72.74
EAI.REMMEL123,Gennode,LMP,59.88,58.72,56.77,54.08,53.46,264.88,86.24,224.26,72.23,143.53,55.24,58.08,47.97,49.65,40.95,48.02,59.24,70.06,74.98,250.77,282.41,117.02,91.6,57.39
EAI.RITCH3.ARR,Hub,LMP,65.63,61.68,59.48,57.1,57.19,96.76,81.4,237.75,70.36,86.48,67.18,68.18,49.94,56.41,52.82,58.92,65.01,84.45,80.65,135.05,103.62,82.2,75.88,62.82
EAI.SEARCY,Gennode,LMP,68.62,61.68,59.26,57.38,58.16,94.19,82.21,240.95,70.43,80.14,60.51,59.32,48.9,54.65,47.9,57.96,63.51,75.27,78.2,129.9,101.05,80.89,71.76,59.4
EAI.SHRDN1.ARR,Hub,LMP,60.45,58.86,56.84,54.22,53.74,79.43,75.33,225.72,65.96,69.79,55.56,58.03,48.03,49.98,41.37,48.26,59.48,70.32,75.14,121.89,87.41,76.98,68.13,57.53
EAI.SHRDN2.ARR,Hub,LMP,60.45,58.86,56.84,54.22,53.74,79.43,75.33,225.72,65.96,69.79,55.56,58.03,48.03,49.98,41.37,48.26,59.48,70.32,75.14,121.89,87.41,76.98,68.13,57.53
EAI.SHRDN3.ARR,Hub,LMP,60.45,58.86,56.84,54.22,53.74,79.43,75.33,225.72,65.96,69.79,55.56,58.03,48.03,49.98,41.37,48.26,59.48,70.32,75.14,121.89,87.41,76.98,68.13,57.53
EAI.STUTTGART,Gennode,LMP,65.12,61.06,58.86,56.54,56.67,102.12,80.91,236.25,69.96,87.94,63.67,60.52,48.63,52.25,45.78,50.55,61.48,74.08,79.71,137.09,109.69,82.94,74.89,61.2
EAI.UPS1_CT1,Gennode,LMP,57.55,58.44,56.69,53.63,52.26,75.56,73.76,222.35,65.39,71.31,55.26,59.24,47.93,48.55,39.85,47.35,58.68,69.78,75.13,119.85,83.54,75.91,68.22,57.86
EAI.UPS1_CT2,Gennode,LMP,57.55,58.44,56.69,53.63,52.26,75.56,73.76,222.35,65.39,71.31,55.26,59.24,47.93,48.55,39.85,47.35,58.68,69.78,75.13,119.85,83.54,75.91,68.22,57.86
EAI.UPS1_ST,Gennode,LMP,57.55,58.44,56.69,53.63,52.26,75.56,73.76,222.35,65.39,71.31,55.26,59.24,47.93,48.55,39.85,47.35,58.68,69.78,75.13,119.85,83.54,75.91,68.22,57.86
EAI.UPS2_CT1,Gennode,LMP,57.55,58.44,56.69,53.63,52.26,75.56,73.76,222.35,65.39,71.31,55.26,59.24,47.93,48.55,39.85,47.35,58.68,69.78,75.13,119.85,83.54,75.91,68.22,57.86
EAI.UPS2_CT2,Gennode,LMP,57.55,58.44,56.69,53.63,52.26,75.56,73.76,222.35,65.39,71.31,55.26,59.24,47.93,48.55,39.85,47.35,58.68,69.78,75.13,119.85,83.54,75.91,68.22,57.86
EAI.UPS2_ST,Gennode,LMP,57.55,58.44,56.69,53.63,52.26,75.56,73.76,222.35,65.39,71.31,55.26,59.24,47.93,48.55,39.85,47.35,58.68,69.78,75.13,119.85,83.54,75.91,68.22,57.86
EAI.UPS3_CT1,Gennode,LMP,57.55,58.44,56.69,53.63,52.26,75.56,73.76,222.35,65.39,71.31,55.26,59.24,47.93,48.55,39.85,47.35,58.68,69.78,75.13,119.85,83.54,75.91,68.22,57.86
EAI.UPS3_CT2,Gennode,LMP,57.55,58.44,56.69,53.63,52.26,75.56,73.76,222.35,65.39,71.31,55.26,59.24,47.93,48.55,39.85,47.35,58.68,69.78,75.13,119.85,83.54,75.91,68.22,57.86
EAI.UPS3_ST,Gennode,LMP,57.55,58.44,56.69,53.63,52.26,75.56,73.76,222.35,65.39,71.31,55.26,59.24,47.93,48.55,39.85,47.35,58.68,69.78,75.13,119.85,83.54,75.91,68.22,57.86
EAI.UPS4_CT1,Gennode,LMP,57.55,58.44,56.69,53.63,52.26,75.56,73.76,222.35,65.39,71.31,55.26,59.24,47.93,48.55,39.85,47.35,58.68,69.78,75.13,119.85,83.54,75.91,68.22,57.86
EAI.UPS4_CT2,Gennode,LMP,57.55,58.44,56.69,53.63,52.26,75.56,73.76,222.35,65.39,71.31,55.26,59.24,47.93,48.55,39.85,47.35,58.68,69.78,75.13,119.85,83.54,75.91,68.22,57.86
EAI.UPS4_ST,Gennode,LMP,57.55,58.44,56.69,53.63,52.26,75.56,73.76,222.35,65.39,71.31,55.26,59.24,47.93,48.55,39.85,47.35,58.68,69.78,75.13,119.85,83.54,75.91,68.22,57.86
EAI.WHBLF.ARR,Hub,LMP,60.89,58.93,56.87,54.32,53.99,93.46,76.41,225.99,66.54,75.65,55.9,58.15,48.05,50.29,41.9,48.51,59.63,70.52,75.29,131.11,101.8,79.86,70.11,57.81
EAI.WH_BLUFF1,Gennode,LMP,60.71,58.76,56.68,54.16,53.85,84.19,75.62,225.32,65.99,71.74,55.65,57.91,47.96,50.2,41.74,48.43,59.53,70.33,75.01,124.52,92.05,77.7,68.69,57.6
EAI.WH_BLUFF2,Gennode,LMP,60.33,58.26,56.14,53.71,53.57,83.65,74.97,223.26,65.35,71.03,55.12,57.3,47.62,50.04,41.59,48.3,59.35,69.84,74.26,123.41,91.26,77.02,68.05,57.18
EAI.WMULDLD,Loadzone,LMP,77.14,63.77,60.92,59.99,62.29,108.34,99.43,265.13,78.74,98.23,74.26,69.27,50.28,63.28,63.73,63.35,65.79,86.17,82.42,135.29,113.87,89.28,84.63,73.99
EAI.WMULD_1.AZ,Hub,LMP,76.91,63.73,60.9,59.94,62.19,108.17,99.28,264.81,78.66,98.02,74.11,69.26,50.28,63.27,63.73,63.36,65.8,86.18,82.43,135.28,113.73,89.26,84.62,73.99
EAI.WODLN1.ARR,Hub,LMP,60.68,59.33,57.33,54.64,54.07,163.1,80.92,227.56,69.54,103.47,55.89,58.5,48.4,50.17,41.37,48.44,59.8,70.79,75.75,180.73,175.48,95.59,79.04,57.72
EAI.WSTMMP.ARR,Hub,LMP,63.02,61.4,59.37,56.57,56.11,98.17,90.8,244.79,74.18,85.59,65.62,68.21,50.1,55.56,51.02,59.53,65.52,85.91,82.23,137.12,106.49,88.86,84.01,73.86
EAI.WTBLF5.ARR,Hub,LMP,60.82,58.91,56.85,54.3,53.95,84.36,75.82,225.96,66.19,71.95,55.8,58.09,48.05,50.25,41.8,48.47,59.61,70.47,75.23,124.86,92.29,77.9,68.88,57.72
EDE,Interface,LMP,47.61,54.28,52.91,44.76,39.92,41.04,27.85,147.21,39.21,36.21,32.89,40.32,39.6,32.41,22.08,22.5,44.17,37.35,55.58,94.24,57.01,49.01,27.97,15.27
EDE.PLUM,Gennode,LMP,0.89,50.16,51.63,40.72,28.34,54.65,55.69,165.18,56.37,31.69,27.6,62.49,48.57,27.39,4.73,46.68,65.43,86.44,81.71,132.46,76.39,84.09,85.61,72.74
EES.ABBEVILLE,Loadzone,LMP,58.14,60.36,58.76,55.47,53.97,82.45,77.78,234.17,70.31,79.57,65.23,70.53,51.42,52.33,46.96,50.11,68.84,76.13,85.87,133.51,92.18,82.6,74.03,62.17
EES.ACAD2_CT1,Gennode,LMP,57.5,59.59,58,54.76,53.27,81.13,76.48,230.03,68.85,77.93,64.03,69.14,50.43,51.46,46.26,49.29,67.74,73.51,81.11,129.49,90.65,81.3,72.75,61.2
EES.ACAD2_CT2,Gennode,LMP,57.5,59.59,58,54.76,53.27,81.13,76.48,230.03,68.85,77.93,64.03,69.14,50.43,51.46,46.26,49.29,67.74,73.51,81.11,129.49,90.65,81.3,72.75,61.2
EES.ACAD2_ST,Gennode,LMP,57.5,59.59,58,54.76,53.27,81.13,76.48,230.03,68.85,77.93,64.03,69.14,50.43,51.46,46.26,49.29,67.74,73.51,81.11,129.49,90.65,81.3,72.75,61.2
EES.ACADA1.ARR,Hub,LMP,57.5,59.59,58,54.76,53.27,81.13,76.48,230.03,68.85,77.93,64.03,69.14,50.43,51.46,46.26,49.29,67.74,73.51,81.11,129.49,90.65,81.3,72.75,61.2
EES.ACADA2.ARR,Hub,LMP,57.5,59.59,58,54.76,53.27,81.13,76.48,230.03,68.85,77.93,64.03,69.14,50.43,51.46,46.26,49.29,67.74,73.51,81.11,129.49,90.65,81.3,72.75,61.2
EES.AIRLIN.ARR,Hub,LMP,57.77,60.32,58.62,55.3,53.79,82.88,77.62,233.18,69.88,79.25,64.88,70.52,51.52,52.45,47.04,50.61,69.82,76.98,88.78,137.64,95.41,82.04,74.51,65.5
EES.AIRLIQ_GEI,Gennode,LMP,57.71,60.22,58.54,55.22,53.71,82.65,77.39,232.43,69.63,78.93,64.64,70.22,51.31,52.26,46.89,50.4,69.54,77.13,89.04,137.97,95.65,82.25,74.68,65.63
EES.AIRLIQ_PNC,Gennode,LMP,58.7,60.64,58.97,55.65,54.07,81.83,77.96,234.58,70.19,79.14,65.13,70.22,51.16,52.11,46.87,49.54,61.63,74.07,80.39,131.34,91.5,82.04,72.73,61.08
EES.AXIALL,Gennode,LMP,57.23,59.05,57.44,54.25,52.75,79.75,75.72,228.07,67.95,76.79,63.3,68.15,49.69,50.82,45.79,48.39,60.55,72.09,78.03,127.9,89.19,80.13,71.2,60
EES.AXLPLQ,Gennode,LMP,57.57,60.04,58.36,55.06,53.55,82.38,77.13,231.68,69.39,78.63,64.37,69.81,50.96,51.94,46.63,50.09,69.14,76.69,88.57,137.4,95.27,81.95,74.36,65.36
EES.BASFVFW,Gennode,LMP,58.54,60.47,58.81,55.51,53.92,81.58,77.68,233.72,69.88,78.8,64.87,69.91,50.94,51.93,46.73,49.37,61.41,73.77,80.03,130.82,91.13,81.74,72.47,60.9
EES.BASTAP.ARR,Hub,LMP,57.93,59.22,57.44,54.32,52.97,80.77,75.39,226.16,67,76.27,62.62,66.84,48.87,50.66,46.05,48.35,59.87,71.74,77.39,127.04,89.42,79.5,71.02,59.79
EES.BASTP1.ARR,Hub,LMP,57.93,59.22,57.44,54.32,52.97,80.77,75.39,226.16,67,76.27,62.62,66.84,48.87,50.66,46.05,48.35,59.87,71.74,77.39,127.04,89.42,79.5,71.02,59.79
EES.BASTR1.ARR,Hub,LMP,57.74,59.05,57.27,54.16,52.8,79.95,75.08,225.38,66.73,75.79,62.44,66.66,48.75,50.51,45.9,48.21,59.7,71.49,77.1,126.35,88.59,79.17,70.71,59.59
EES.BASTR2.ARR,Hub,LMP,57.74,59.05,57.27,54.16,52.8,79.95,75.08,225.38,66.73,75.79,62.44,66.66,48.75,50.51,45.9,48.21,59.7,71.49,77.1,126.35,88.59,79.17,70.71,59.59
EES.BGTEL1.ARR,Hub,LMP,57.7,60.23,58.54,55.23,53.72,82.73,77.47,232.69,69.71,79.08,64.77,70.4,51.43,52.38,46.98,50.54,69.7,77.22,89.12,138.04,95.68,82.26,74.7,65.66
EES.BRAZLD,Loadzone,LMP,58.43,60.23,58.56,55.25,53.63,81.25,77.85,234.87,70.34,79.24,64.95,69.94,50.84,51.55,46.33,48.65,60.45,72.65,79.39,130.93,90.79,80.97,71,59.42
EES.BRAZ_1.AZ,Hub,LMP,58.34,60.13,58.45,55.15,53.53,81.09,77.69,234.4,70.2,79.1,64.85,69.83,50.76,51.48,46.27,48.58,60.37,72.54,79.26,130.75,90.66,80.85,70.87,59.34
EES.BRTNY1.ARR,Hub,LMP,57.65,60.16,58.48,55.18,53.67,82.58,77.31,232.21,69.56,78.84,64.57,70.13,51.24,52.18,46.82,50.33,69.44,77.02,88.92,137.81,95.54,82.16,74.59,65.56
EES.BRTNY2.ARR,Hub,LMP,57.65,60.16,58.48,55.18,53.67,82.58,77.31,232.21,69.56,78.84,64.57,70.13,51.24,52.18,46.82,50.33,69.44,77.02,88.92,137.81,95.54,82.16,74.59,65.56
EES.BURAS.ARR,Hub,LMP,58.15,60.8,59.08,55.75,54.22,83.7,78.45,235.37,70.49,79.96,65.44,71.26,52.12,53.23,47.68,51.43,70.73,78.31,90.04,138.78,96.16,82.62,75.12,66.11
EES.BXTRW5.ARR,Hub,LMP,56.88,58.99,57.27,54.06,52.62,80.59,75.21,225.49,67.17,76.03,62.37,67.32,49.25,50.56,45.69,48.87,67.42,74.5,86.15,134.14,92.95,79.97,72.73,64.07
EES.BXTRWL.ARR,Hub,LMP,56.88,58.99,57.27,54.06,52.62,80.59,75.21,225.49,67.17,76.03,62.37,67.32,49.25,50.56,45.69,48.87,67.42,74.5,86.15,134.14,92.95,79.97,72.73,64.07
EES.BXWSN2.ARR,Hub,LMP,56.97,59.06,57.33,54.12,52.69,80.9,75.37,225.95,67.33,76.3,62.52,67.46,49.34,50.65,45.78,48.95,67.5,74.63,86.3,134.45,93.31,80.15,72.9,64.18
EES.CALCAS1_CT,Gennode,LMP,57.56,59.43,57.82,54.6,53.08,80.27,76.23,229.5,68.44,77.3,63.71,68.61,50.03,51.13,46.06,48.69,60.51,72.59,78.58,128.62,89.71,80.58,71.61,60.31
EES.CALCAS2_CT,Gennode,LMP,57.56,59.43,57.82,54.6,53.08,80.27,76.23,229.5,68.44,77.3,63.71,68.61,50.03,51.13,46.06,48.69,60.51,72.59,78.58,128.62,89.71,80.58,71.61,60.31
EES.CALDWEL.AZ,Hub,LMP,60.39,62.46,60.84,57.38,55.67,84.54,81.18,245.05,73.83,82.95,67.63,73.14,53.1,53.64,48.05,50.5,62.81,75.74,82.77,135.63,94.04,83.75,73.43,61.02
EES.CALDWELL,Loadzone,LMP,60.39,62.46,60.84,57.38,55.67,84.54,81.18,245.05,73.83,82.95,67.63,73.14,53.1,53.64,48.05,50.5,62.81,75.74,82.77,135.63,94.04,83.75,73.43,61.02
EES.CARV_A,Gennode,LMP,57.32,59.77,58.09,54.81,53.32,81.99,76.75,230.6,69.04,78.25,64.12,69.6,50.84,51.82,46.52,49.98,68.98,76.43,88.3,137,94.95,81.69,74.15,65.2
EES.CARV_BC,Gennode,LMP,57.32,59.77,58.09,54.81,53.32,81.99,76.75,230.6,69.04,78.25,64.12,69.6,50.84,51.82,46.52,49.98,68.98,76.43,88.3,137,94.95,81.69,74.15,65.2
EES.CC.ACAD2,Gennode,LMP,57.5,59.59,58,54.76,53.27,81.13,76.48,230.03,68.85,77.93,64.03,69.14,50.43,51.46,46.26,49.29,67.74,73.51,81.11,129.49,90.65,81.3,72.75,61.2
EES.CC.JWL_1,Gennode,LMP,57.07,59.52,57.83,54.59,53.11,81.8,76.66,230.29,68.86,78.75,64.75,70.42,51.45,52.44,47.01,50.62,69.75,77.22,89.07,137.81,95.43,81.95,74.39,65.48
